Date,Customer ID,Name,Job ID,Job Description,Account ID,Account Description,Invoice/CM No,Line Description,Purchase Order No,Amount,,,
2/28/19,Caprock,Caprock Permian Processing LLC,47701076,4-1076,41100-3000,Sales - Invoiced - RP,IN4382,50% upon PO acceptance - line item 2 - MCS install kit,180347-02,"-1,875.00",,,
2/5/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,87700498,FS,41100-4000,Sales - Invoiced - FS,IN4366,Classroom Turboexpander-compressor training for 30 people on Wednesday 1/23 in the Odessa overhaul shop training room.,TAR60987,"-3,750.00",,,
2/25/19,Badger,Badger Midstream,87700507,FS,41100-4000,Sales - Invoiced - FS,IN4376,"Field service to Keyes Helium, Oklahoma from 2/13 thru 2/15/2019.",OK2019-012,"-8,659.74",,,
2/26/19,Eagleclaw,"Eagleclaw Midstream, LLC",87700509,FS,41100-4000,Sales - Invoiced - FS,IN4377,"Field service to Pecos, TX from 2/21 thru 2/23/2019.",AFE 180234,"-11,586.30",,,
2/26/19,LAT Europe Belgium,LAT Europe,87700506,FS,41100-4000,Sales - Invoiced - FS,IN4378,"Field service to Statoil - Karsto, Norway for GER260 from 2/11 thru 2/24/2019.",FNRLATE1968,"-30,557.74",,,
2/27/19,Cureton,Cureton Midstream,87700505,FS,41100-4000,Sales - Invoiced - FS,IN4379,Field service for commissioning/Start up to Keenesburg CO Plant from 2/11 thru 2/17/2019.,CM-WO-0250,"-23,710.92",,,
2/28/19,Summit,Summit Midstream,87700504,FS,41100-4000,Sales - Invoiced - FS,IN4383,"Field service to Lane Gas Plant, Carlsbad NM for LAT573EC from 2/1 thru 2/9/2019.",PERM-000523,"-31,728.45",,,
2/28/19,Summit,Summit Midstream,87700504,FS,41100-4000,Sales - Invoiced - FS,IN4383,Lost parts,PERM-000523,-155.85,,,
2/28/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,87700514,FS,41100-4000,Sales - Invoiced - FS,IN4386,LAT Conducted training of Targa Resources personnel on proper removal of the MCS.,TAR72778,"-6,450.00",,,
2/7/19,LAT Europe Belgium,LAT Europe,37701027,SP,41100-5000,Sales - Invoiced - SP,IN4364,Line item 1 - Tag SP3643 - Replacement valve NPS1 1/2,FNRLATE1806,"-4,208.39",,,
2/7/19,LAT Europe Belgium,LAT Europe,37701027,SP,41100-5000,Sales - Invoiced - SP,IN4364,Line item 2 - Packing repair kit,FNRLATE1806,-114.00,,,
2/7/19,LAT Europe Belgium,LAT Europe,37701027,SP,41100-5000,Sales - Invoiced - SP,IN4364,Line item 3 - RGASKETX172 - Gasket set,FNRLATE1806,-204.00,,,
